name,park,city,state,country,region,construction,type,year_opened,height_feet,speed_mph,length_feet,number_of_inversions,drop_feet,g_force,vertical_angle_degrees,duration_sec
Leviathan,Canada's Wonderland,Vaughan,Onterio,Canada,North America,Steel,Sit Down,2012,306,92,5486,0,306,NA,80,12480
Lightning Rod,Dollywood,Pigeon Forge,Tennessee,United States,North America,Wood,Sit Down,2016,207,73,3800,0,165,3.5,73,NA
Limit,Heide-Park Soltau,Soltau,Lower Saxony,Germany,Europe,Steel,Inverted,1999,109.3,49.7,2260.5,5,NA,NA,NA,5760
Magnum XL-200,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,1989,205,72,5106,0,194.7,NA,60,7200
Mako,SeaWorld Orlando,Orlando,Florida,United States,North America,Steel,Sit Down,2016,200,73,4760,0,200,NA,NA,NA
Mamba,Worlds of Fun,Kansas City,Missouri,United States,North America,Steel,Sit Down,1998,205,75,5600,0,205,3.5,NA,10800
Mammut,Erlebnispark Tripsdrill,Cleebronn,Baden Wuerttemberg,Germany,Europe,Wood,Sit Down,2008,98.4,55.9,2821.5,0,NA,NA,NA,NA
Manta,SeaWorld Orlando,Orlando,Florida,United States,North America,Steel,Flying,2009,140,56,3359,4,113,NA,NA,9300
Manta,SeaWorld San Diego,San Diego,California,United States,North America,Steel,Sit Down,2012,30,43,2800,0,54,4,NA,7200
Maverick,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,2007,105,70,4450,2,100,NA,95,9e3
Medusa,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,2000,150,65,3937,7,150,4.5,NA,11700
Medusa Steel Coaster,Six Flags Mexico,Mexico City,Mexico City,Mexico,Central America,Steel,Sit Down,2009,98,58,3e3,3,NA,NA,NA,NA
Millennium Force,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,2000,310,93,6595,0,300,NA,80,8400
Mind Eraser,Six Flags America,Upper Marlboro,Maryland,United States,North America,Steel,Inverted,1995,109.3,49.7,2260.5,5,NA,NA,NA,5760
Mind Eraser,Elitch Gardens,Denver,Colorado,United States,North America,Steel,Inverted,1997,109.3,49.7,2260.5,5,NA,NA,NA,5760
Mine Blower,Fun Spot America,Kissimmee,Florida,United States,North America,Wood,Sit Down,2017,83,45.8,2290,1,80.5,NA,65,NA
Monster,Walygator Parc,Maizieres-les-Metz,Lorraine,France,Europe,Steel,Inverted,2010,131.3,55.9,3937,6,NA,NA,NA,8880
Montana  Rusa,La Feria Chapultpec,Mexico City,Mexico,Mexico,Central America,Wood,Sit Down,1964,110,52.8,4e3,0,NA,NA,NA,NA
Montana Rusa,Salitre Magico,Bogota,Cundinamarca,Colombia,South America,Steel,Sit Down,2000,70,NA,1250,2,NA,NA,NA,4200
Montana Rusa,VulQano Park,Quito,Pichincha,Ecuador,South America,Steel,Sit Down,2005,36.1,NA,1197.5,1,NA,NA,NA,NA
Montezooma's Revenge,Knott's Berry Farm,Buena Park,California,United States,North America,Steel,Sit Down,1978,148,55,800,1,NA,NA,NA,2160
Montezum,Hopi Hari,Vinhedo,Sao Palo,Brazil,South America,Wood,Sit Down,1999,139.1,64,3380,0,NA,NA,NA,NA
Montu,Busch Gardens Tampa,Tampa,Florida,United States,North America,Steel,Inverted,1996,150,60,3983,7,128,3.8,50,10800
MP-Xpress,Movie Park Germany,Bottrop,North Rhine-Westphali,Germany,Europe,Steel,Inverted,2001,109.3,49.7,2260.5,5,NA,NA,NA,5760
Mr. Freeze Reverse Blast,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,1998,218,70,1300,1,NA,NA,NA,NA
Mr. Freeze Reverse Blast,Six Flags St. Louis,Eureka,Missouri,United States,North America,Steel,Sit Down,1998,218,70,1300,1,NA,NA,NA,NA
Mystic Timbers,Kings Island,Mason,Ohio,United States,North America,Wood,Sit Down,2017,109.2,53,3265,0,98,NA,NA,7200
Nemesis,Alton Towers,Alton,"Staffordshire, England",United Kingdom,Europe,Steel,Inverted,1994,42.6,50,2349,4,104,3.5,NA,4800
Nemisis Inferno,Thorpe Park,Chertsey,"Surrey, England",United Kingdom,Europe,Steel,Inverted,2003,95.2,47.8,2460.7,4,NA,4.5,NA,6180
Nessie Superrollercoaster,Hansa Park,Sierksdorf,Schleswig-Holstein,Germany,Europe,Steel,Sit Down,1980,85.3,49.1,2431.1,1,NA,NA,NA,7800
New Revolution,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,1976,113,55,3457,1,NA,4.9,NA,7920
New Texas Giant,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,2011,153,68.6,4200,0,147,NA,79,7200
Ninja,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Suspended,1988,60,55,2800,0,NA,NA,NA,5400
Nitro,Six Flags Great Adventure,Jackson,New Jersey,United States,North America,Steel,Sit Down,2001,230,80,5394,0,215,NA,NA,8400
Oblivion,Alton Towers,Alton,"Staffordshire, England",United Kingdom,Europe,Steel,Sit Down,1998,65,68,1222,0,180,4.5,87,4500
OCT Thrust SSC1000,Happy Valley,Hongshan,"Wuhan, Hubei",China,Asia,Steel,Sit Down,2014,196.8,83,NA,0,221.2,4.5,NA,NA
Outlaw Run,Silver Dollar City,Branson,Missouri,United States,North America,Wood,Sit Down,2013,107,68,2937,3,162,NA,81,5220
Pandemonium,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,2007,48,31,1351,0,NA,NA,NA,NA
Pandemonium,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,2008,53,31,1351,0,27,NA,NA,6660
Patriot,Worlds of Fun,Kansas City,Missouri,United States,North America,Steel,Inverted,2006,149,60,3081,4,123,NA,NA,8280
Phaethon,Gyeongju World,Gyeongju,Gyeongsangbuk-do,South Korea,Asia,Steel,Inverted,2007,147.7,55.9,3280.8,6,NA,NA,NA,8400
Phantom's Revenge,Kennywood,West Miflin,Pennsylvania,United States,North America,Steel,Sit Down,1991,160,85,3200,0,228,NA,NA,7020
Phoenix,Knoebels Amusement Park,Elysburg,Pennsylvania,United States,North America,Wood,Sit Down,1985,78,45,3200,0,72,NA,NA,7200
Piraten,Djurs Sommerland,Nimtofte,Midtjylland,Denmark,Europe,Steel,Sit Down,2008,101.7,52.8,2477,0,98.4,NA,70,3660
Poltergeist,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,1999,78.8,60,2705,4,NA,4.5,NA,4500
Prowler,Worlds of Fun,Kansas City,Missouri,United States,North America,Wood,Sit Down,2009,102.3,51.2,3074,0,84.9,NA,NA,9e3
Pyrenees,Parque Espana-Shima Spain Village,Shima,Mie,Japan,Asia,Steel,Inverted,1997,147.7,62.1,4048.6,6,NA,NA,NA,6780
Python in Bamboo Forest,Nanchang Wanda Theme Park,Xinjian,"Nanchang, Jiangxi",China,Asia,Wood,Sit Down,2016,164.1,62.1,5111,0,134.5,NA,NA,6e3
Quimera,La Feria Chapultpec,Mexico City,Mexico,Mexico,Central America,Steel,Sit Down,2007,111,53,3444,3,NA,4.7,NA,NA
Racer,Kings Island,Kings Mills,Ohio,United States,North America,Wood,Sit Down,1972,88,53,3415,0,NA,NA,45,7200
Raging Bull,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Sit Down,1999,202,73,5057,0,208,NA,65,9e3
RailBlazer,California's Great America,Santa Clara,California,United States,North America,Steel,Sit Down,2018,106,52,1800,3,NA,NA,90,NA
Ranier Rush,Puyallup Fair,Puyallup,Washington,United States,North America,Steel,Sit Down,2013,63,45,1775,1,NA,NA,NA,NA
Raptor,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Inverted,1994,137,57,3790,6,119,NA,45,8160
Raptor,Fantasilandia,Santiago,Metropolitan Region,Chile,South America,Steel,Inverted,2008,109.3,49.7,2260.5,5,NA,NA,NA,5760
Raven,Holiday World,Santa Claus,Indiana,United States,North America,Wood,Sit Down,1995,80,48,2800,0,NA,NA,NA,5400
Ravine Flyer II,Waldameer,Erie,Pennsylvania,United States,North America,Wood,Sit Down,2008,80,57,2900,0,118,NA,60,5400
Red Force,Ferrari Land,Salou,Tarragona,Spain,Europe,Steel,Sit Down,2017,367.3,111.8,2887.2,0,NA,NA,90,NA
Renegade,Valleyfair!,Shakopee,Minnesota,United States,North America,Wood,Sit Down,2007,97.5,51.3,3113,0,91.4,NA,NA,7200
Revenge of the Mummy the Ride,Universal Studios Hollywood,Universal City,California,United States,North America,Steel,Sit Down,2004,44.4,40,1906,0,NA,NA,50,7200
Riddler Revenge,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Inverted,1997,109.3,49.7,2260.5,5,NA,NA,NA,5760
Riddler's Revenge,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Stand Up,1998,156,65,4370,6,146,4.2,NA,10800
Ride of Steel,Darien Lake,Darien Center,New York,United States,North America,Steel,Sit Down,1999,208,73,5400,0,205,NA,68,7320
Road Runner Express,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,1997,73,35,2400,0,67,NA,NA,8640
Rock 'n' Roller Coaster,Disneyland Paris - Walt Disney Studios Park,Marne la Vallee,Ile-de-France,France,Europe,Steel,Sit Down,2002,80,57,3403,3,NA,5,NA,4200
Rougarou,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,1996,145,60,3900,4,137,NA,52,9600
Saw - The Ride,Thorpe Park,Chertsey,"Surrey, England",United Kingdom,Europe,Steel,Sit Down,2009,100,55,2362,3,NA,NA,100,6e3
Schwur des Kärnan,Hansa Park,Sierksdorf,Schleswig-Holstein,Germany,Europe,Steel,Sit Down,2015,239.5,78.9,4051.8,1,219.8,NA,NA,NA
Scream!,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,2003,150,63,3985,7,141,NA,NA,10800
Screamer,Scandia Amusement Park,Ontario,California,United States,North America,Steel,Sit Down,1995,90,50,2600,0,80,NA,NA,6960
Shambhala,PortAventura Park,Salou,Tarragona,Spain,Europe,Steel,Sit Down,2012,249.3,83.3,5131.3,0,255.9,3.8,NA,10800
Shock Wave,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,1978,116,60,3600,2,NA,NA,NA,7200
Sidewinder,Elitch Gardens,Denver,Colorado,United States,North America,Steel,Sit Down,1995,56,45,635,1,NA,4,NA,3960
Silver Bullet,Knott's Berry Farm,Buena Park,California,United States,North America,Steel,Inverted,2004,146,55,3125,6,109,NA,NA,9e3
Silver Star,Europa Park,Rust,Baden Wuerttemberg,Germany,Europe,Steel,Sit Down,2002,239.5,78.9,5315,0,219.8,4,68.5,14400
Sky Scream,Holiday Park,Hassloch,Rhineland-Palatinate,Germany,Europe,Steel,Sit Down,2014,150,62,863,1,NA,NA,90,3600
Sky Wheel,Skyline Park,Bad Worishofen,Bavaria,Germany,Europe,Steel,Sit Down,2004,151.6,65.3,492.2,2,NA,5,NA,3e3
Skyrush,Hersheypark,Hershey,Pennsylvania,United States,North America,Steel,Sit Down,2012,200,75,3600,0,NA,NA,85,NA
Smiler,Alton Towers,Alton,"Staffordshire, England",United Kingdom,Europe,Steel,Sit Down,2013,72.2,52.8,3838.6,14,98.4,4.5,50,9900
Snow Mountain Flying Dragon,Happy Valley,Nanshan,"Shenzhen, Guanagdong",China,Asia,Steel,Inverted,2002,117.8,54.9,2202.8,4,111.8,4.7,NA,5520
Soaring Dragon & Dancing Phoenix,Nanchang Wanda Theme Park,Xinjian,"Nanchang, Jiangxi",China,Asia,Steel,Inverted,2016,196.8,84,4192,6,NA,NA,NA,NA
Soaring with Dragon,Hefei Wanda Theme Park,Baohe,"Hefei, Anjui",China,Asia,Steel,Sit Down,2016,196.8,77.7,3438.3,1,NA,NA,NA,9900
Spatiale Experience,Nigloland,Dolancourt,Champagne-Ardenne,France,Europe,Steel,Sit Down,2000,65.6,37.3,2624.7,0,NA,4.5,NA,8100
SpeedSnake FREE,Fort Fun Abenteuerland,Wasserfall,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,1982,64,37.3,1148.3,2,NA,NA,NA,3600
Stampida,PortAventura Park,Salou,Tarragona,Spain,Europe,Wood,Sit Down,1997,84,46,3127,0,NA,NA,NA,6e3
Star Mountain,Beto Carrero World,Penha,Santa Catarina,Brazil,South America,Steel,Sit Down,1993,75,40,2400,2,NA,NA,NA,NA
Star Wars Hyperspace Mountain: Rebel Mission,Disneyland Resort Paris - Disneyland Park,Marne la Vallee,Ile-de-France,France,Europe,Steel,Sit Down,1995,105,44,3281,3,NA,NA,NA,7500
Stealth,Thorpe Park,Chertsey,"Surrey, England",United Kingdom,Europe,Steel,Sit Down,2006,205.1,80,1312.3,0,NA,NA,90,NA
Steel Dragon 2000,Nagashima Spa Land,Nagashima,"Kuwana,, Mie",Japan,Asia,Steel,Sit Down,2000,318.3,95,8133.2,0,306.8,NA,NA,14400
Steel Eel,SeaWorld San Antonio,San Antonio,Texas,United States,North America,Steel,Sit Down,1999,150,65,3700,0,150,3.5,60,6e3
Steel Force,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,United States,North America,Steel,Sit Down,1997,200,75,5600,0,205,NA,NA,10800
Steel Vengeance,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,2018,205,74,5740,4,200,NA,90,9e3
Steel Venom,Valleyfair!,Shakopee,Minnesota,United States,North America,Steel,Inverted,2003,185,68,630,0,175,NA,90,NA
Storm Chaser,Kentucky Kingdom,Louisville,Kentucky,United States,North America,Steel,Sit Down,2016,100,52,2744,3,NA,3.8,78,6e3
Storm Runner,Hersheypark,Hershey,Pennsylvania,United States,North America,Steel,Sit Down,2004,150,75,2600,3,180,NA,90,3e3
Stunt Fall,Parque Warner Madrid,San Martin de la Vega,Madrid,Spain,Europe,Steel,Inverted,2002,191,65.6,1204,3,177,4.5,90,5520
Super Tornado,Zoo Safari- und Hollywoodpark Stukenbrock,Stukenbrock,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,1981,64,37.3,1148.3,2,NA,NA,NA,NA
Superman - Ride Of Steel,Six Flags America,Upper Marlboro,Maryland,United States,North America,Steel,Sit Down,2000,197,73,5350,0,205,NA,68,7800
Superman - Ultimate Flight,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Flying,2003,106,51,2798,2,100,NA,NA,10800
Superman / la Atracción de Acero,Parque Warner Madrid,San Martin de la Vega,Madrid,Spain,Europe,Steel,Sit Down,2002,164.1,62.1,3608.9,7,NA,NA,NA,8760
Superman el Último Escape,Six Flags Mexico,Mexico City,Mexico City,Mexico,Central America,Steel,Sit Down,2004,219.8,74.6,5577.4,0,205,NA,NA,11040
Superman Krypton Coaster,Six Flags Fiesta Texas,San Antonio,Texas,United States,North America,Steel,Sit Down,2000,168,70,4015,6,NA,NA,NA,9300
Superman the Ride,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Sit Down,2000,208,77,5400,0,221,NA,NA,9300
Superman: Escape from Krypton,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,1997,415,100,1235,0,328.1,4.5,NA,1680
Swarm,Thorpe Park,Chertsey,"Surrey, England",United Kingdom,Europe,Steel,Wing,2012,127,57,2543,5,NA,4.5,NA,5100
T Express,Everland,Yongin-si,Gyeonggi-do,South Korea,Asia,Wood,Sit Down,2008,183.8,64.6,5383.8,0,150.9,NA,77,NA
Takabisha,Fuji-Q Highland,Fujiyoshida,Yamanashi,Japan,Asia,Steel,Sit Down,2011,141,62.1,3280.8,7,NA,NA,121,6720
Talon,Dorney Park & Wildwater Kingdom,Allentown,Pennsylvania,United States,North America,Steel,Inverted,2001,135,58,3110,4,120,NA,50,NA
Taron,Phantasialand,Bruhl,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,2016,98.4,72.7,4330.8,0,NA,NA,NA,NA
Tatsu,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Flying,2006,170,62,3602,4,111,NA,NA,NA
Taunusblitz,Taunus Wunderland,Schlangenbad,Hesse,Germany,Europe,Steel,Sit Down,1999,45.9,28,1213.9,0,NA,NA,NA,6600
Temple of the Night Hawk,Phantasialand,Bruhl,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,1988,38.4,28.9,3851.7,0,NA,NA,NA,14400
Terminator Salvation: The Coaster,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Wood,2009,29,81,876.9,0,NA,NA,NA,10800
Texas Tornado,Wonderland Amusement Park,Amarillo,Texas,United States,North America,Steel,Sit Down,1985,80,65,2050,2,80,NA,NA,NA
Thunder Dolphin,Tokyo Dome City,Bunkyo,Tokyo,Japan,Asia,Steel,Sit Down,2003,262.5,80.8,3500,0,218.2,NA,80,5400
Timber Drop,Fraispertuis City,Jeanmenil,Lorraine,France,Europe,Steel,Sit Down,2011,96,41,NA,2,NA,NA,113,4800
Timber Wolf,Worlds of Fun,Kansas City,Missouri,United States,North America,Wood,Sit Down,1989,100,53,4230,0,95,2.8,NA,7980
Timberhawk: Ride of Prey,Wild Waves Theme Park,Federal Way,Washington,United States,North America,Wood,Sit Down,2003,75,50,2600,0,NA,NA,NA,NA
Time Traveler,Silver Dollar City,Branson,Missouri,United States,North America,Steel,Sit Down,2008,100,50.3,3020,3,90,NA,90,7020
Titan,Six Flags Over Texas,Arlington,Texas,United States,North America,Steel,Sit Down,2001,245,85,5312,0,255,NA,NA,12600
Titan Cascabel,Selva Magica,Guadalajara,Jalisco,Mexico,Central America,Steel,Sit Down,1994,75,55,2500,0,NA,NA,NA,NA
Tonnerre de Zeus,Parc Asterix,Plailly,Picardie,France,Europe,Wood,Sit Down,1997,98,52,4044,0,NA,NA,NA,7500
Top Thrill Dragster,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,2003,420,120,2800,0,400,NA,90,1800
Tornado,Bosque Magico,Guadalupe,Nuevo Leon,Mexico,Central America,Steel,Sit Down,2001,64,37.3,1148.3,2,NA,NA,NA,NA
Tower of Terror II,Dreamworld,Coomera,Queensland,Australia,Oceana,Steel,Sit Down,1997,377.3,100,1235,0,328.1,4.5,90,1680
Twisted Colossus,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,2015,121,57,4990,2,128,NA,80,13200
Twister II,Elitch Gardens,Denver,Colorado,United States,North America,Wood,Sit Down,1995,100,55,4640,0,NA,3.1,NA,NA
Ultimate,Lightwater Valley,Ripn,"North Yorkshire, England",United Kingdom,Europe,Steel,Sit Down,1991,107,50,7442,0,NA,NA,NA,NA
V2: Vertical Velocity,Six Flags Discovery Kingdom,Vallejo,California,United States,North America,Steel,Sit Down,2001,150,65,630,0,NA,NA,NA,NA
Valravn,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Sit Down,2016,223,75,3415,3,214,NA,90,NA
Velikolukskiy Myasokombinat,Wonder Island,Saint Petersburg,Saint Petersburg,Russia,Europe,Steel,Sit Down,2015,124,62.1,3464,4,NA,3.8,NA,9e3
Velikolukskiy Myasokombinat-2,Wonder Island,Saint Petersburg,Saint Petersburg,Russia,Europe,Steel,Sit Down,2017,108,52.8,2870,10,NA,NA,NA,NA
Vertical Velocity,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Inverted,2001,185,70,630,0,NA,NA,NA,NA
Viper,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Sit Down,1990,188,70,3830,7,171,NA,NA,9e3
Viper,Six Flags Great America,Gurnee,Illinois,United States,North America,Wood,Sit Down,1995,100,50,3458,0,80,NA,53,6300
Vortex,Kings Island,Kings Mills,Ohio,United States,North America,Steel,Sit Down,1987,148,55,3800,6,138,NA,55,9e3
Voyage,Holiday World,Santa Clause,Indiana,United States,North America,Wood,Sit Down,2006,159,67,6442,0,154,NA,66,9900
Whirl Wind Looping Coaster,Wonder Island,Saint Petersburg,Saint Petersburg,Russia,Russia,Steel,Sit Down,2003,64,37.3,1148,2,NA,NA,NA,NA
Whizzer,Six Flags Great America,Gurnee,Illinois,United States,North America,Steel,Sit Down,1976,70,42,3100,0,64,NA,NA,7200
Wicked Cyclone,Six Flags New England,Agawam,Massachusetts,United States,North America,Steel,Sit Down,2015,109,55,3320,3,NA,NA,78,NA
Wicked Twister,Cedar Point,Sandusky,Ohio,United States,North America,Steel,Inverted,2002,215,72,215,0,206,NA,90,NA
Wild One,Six Flags America,Upper Marlboro,Maryland,United States,North America,Wood,Sit Down,1986,98,53,4e3,0,88,NA,NA,6720
Wild Thing,Valleyfair!,Shakopee,Minnesota,United States,North America,Steel,Sit Down,1996,207,74,5460,0,196,NA,NA,10800
Wild Thing,Wild Waves Theme Park,Federal Way,Washington,United States,North America,Steel,Sit Down,1997,75,40,1565,3,64,NA,NA,3600
Wildfire,Kolmarden,Norrkoping,Ostergotland,Sweden,Europe,Wood,Sit Down,2016,183.8,71.5,4150.3,3,160.8,4,83,7200
Winjas,Phantasialand,Bruhl,North Rhine-Westphalia,Germany,Europe,Steel,Sit Down,2002,57.1,41,1526.6,0,52.5,NA,NA,NA
Wodan Timbur Coaster,Europa Park,Rust,Baden Wuerttemberg,Germany,Europe,Wood,Sit Down,2012,131.3,62.1,3444.9,0,NA,3.5,NA,12300
X2,Six Flags Magic Mountain,Valencia,California,United States,North America,Steel,Wing,2002,175,76,3610,2,215,4,88.5,NA
Xcelerator,Knott's Berry Farm,Buena Park,California,United States,North America,Steel,Sit Down,2002,145.3,63.2,3278.6,0,NA,NA,90,3720
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
